scenario_type,scenario,method,n_replicates
graded,SCM-enrichment-0,Estimated-WCP,30
graded,SCM-enrichment-0,Split-CP,30
graded,SCM-enrichment-0.75,Estimated-WCP,30
graded,SCM-enrichment-0.75,Split-CP,30
graded,SCM-enrichment-1.5,Estimated-WCP,30
graded,SCM-enrichment-1.5,Split-CP,30
graded,SCM-enrichment-2.5,Estimated-WCP,30
graded,SCM-enrichment-2.5,Split-CP,30
regime,Holdout-Dual-SCM,Estimated-WCP,30
regime,Holdout-Dual-SCM,Split-CP,30
regime,Holdout-Fly-ash-only,Estimated-WCP,30
regime,Holdout-Fly-ash-only,Split-CP,30
regime,Holdout-No-SCM,Estimated-WCP,30
regime,Holdout-No-SCM,Split-CP,30
regime,Holdout-Slag-only,Estimated-WCP,30
regime,Holdout-Slag-only,Split-CP,30
regime_28d,28d-Holdout-Dual-SCM,Estimated-WCP,30
regime_28d,28d-Holdout-Dual-SCM,Split-CP,30
regime_28d,28d-Holdout-Fly-ash-only,Estimated-WCP,30
regime_28d,28d-Holdout-Fly-ash-only,Split-CP,30
regime_28d,28d-Holdout-No-SCM,Estimated-WCP,30
regime_28d,28d-Holdout-No-SCM,Split-CP,30
regime_28d,28d-Holdout-Slag-only,Estimated-WCP,30
regime_28d,28d-Holdout-Slag-only,Split-CP,30
