scenario,support_q90,support_q95,support_q97.5,support_q99
Holdout-No-SCM,0.04741379310344827,0.08189655172413793,0.1724137931034483,0.2672413793103448
Holdout-Slag-only,0.0,0.0,0.03293413173652695,0.04491017964071856
Holdout-Fly-ash-only,0.0041841004184100415,0.04184100418410042,0.3305439330543933,0.602510460251046
Holdout-Dual-SCM,0.0,0.02666666666666667,0.28444444444444444,0.6177777777777778
28d-Holdout-No-SCM,0.025,0.0375,0.0875,0.1625
28d-Holdout-Slag-only,0.0,0.015625,0.015625,0.046875
28d-Holdout-Fly-ash-only,0.021052631578947368,0.11578947368421053,0.3263157894736842,0.49473684210526314
28d-Holdout-Dual-SCM,0.0,0.02459016393442623,0.16393442622950818,0.5
SCM-enrichment-0,0.8627264273437371,0.9182024467336226,0.9614541152793488,0.9777576553292125
SCM-enrichment-0.75,0.8028908366848014,0.9031320745118552,0.9620901686486629,0.9873294749793344
SCM-enrichment-1.5,0.7266502184887325,0.8656701337889677,0.940693618644138,0.9769913016809677
SCM-enrichment-2.5,0.5882695378285838,0.7502585957519737,0.877944307193332,0.9398840297301151
